content_id,platform,content_type,topic,likes,comments,shares,saves,reach,engagement_rate,performance_label,success_driver,failure_reason,posted_at,recommended_action
cnt_001,Instagram,carousel,Tech,248,3,189,140,1245,0.466,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-02,Replicate hook style and CTA in upcoming posts
cnt_002,X,text,Motivation,229,86,189,279,865,0.905,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-03,Replicate hook style and CTA in upcoming posts
cnt_003,X,reel,Marketing,81,11,55,119,760,0.35,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-04,Replicate hook style and CTA in upcoming posts
cnt_004,Instagram,text,Marketing,427,91,166,279,2999,0.321,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-05,Replicate hook style and CTA in upcoming posts
cnt_005,LinkedIn,image,Productivity,589,103,1,81,5229,0.148,average,,Audience engagement consistent with baseline,2025-12-06,Experiment with hook or CTA to push performance
cnt_006,LinkedIn,reel,Education,460,97,86,52,1759,0.395,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-07,Replicate hook style and CTA in upcoming posts
cnt_007,X,reel,Announcement,724,77,67,22,5935,0.15,average,,Content performed as expected for this format,2025-12-08,Maintain strategy and test small variations
cnt_008,Instagram,reel,Motivation,181,70,75,185,1725,0.296,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-09,Replicate hook style and CTA in upcoming posts
cnt_009,Instagram,text,Education,486,98,74,40,2411,0.29,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-10,Replicate hook style and CTA in upcoming posts
cnt_010,LinkedIn,carousel,Tech,948,81,93,83,5876,0.205,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-11,Replicate hook style and CTA in upcoming posts
cnt_011,X,carousel,Marketing,566,89,174,36,4193,0.206,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-12,Replicate hook style and CTA in upcoming posts
cnt_012,X,carousel,Tech,521,20,118,194,2668,0.32,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-13,Replicate hook style and CTA in upcoming posts
cnt_013,Instagram,image,Announcement,684,107,196,28,3928,0.258,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-14,Replicate hook style and CTA in upcoming posts
cnt_014,X,image,Productivity,568,8,54,290,5293,0.174,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-15,Replicate hook style and CTA in upcoming posts
cnt_015,LinkedIn,carousel,Productivity,1042,50,164,234,4296,0.347,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-16,Replicate hook style and CTA in upcoming posts
cnt_016,X,text,Education,1169,68,67,299,7016,0.228,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-17,Replicate hook style and CTA in upcoming posts
cnt_017,Instagram,reel,Productivity,469,17,130,252,1779,0.488,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-18,Replicate hook style and CTA in upcoming posts
cnt_018,LinkedIn,text,Marketing,347,101,174,216,1301,0.644,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-19,Replicate hook style and CTA in upcoming posts
cnt_019,X,reel,Tech,978,67,64,283,3028,0.46,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-20,Replicate hook style and CTA in upcoming posts
cnt_020,LinkedIn,text,Productivity,1119,96,68,174,4270,0.341,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-21,Replicate hook style and CTA in upcoming posts
cnt_021,Instagram,reel,Tech,949,0,184,134,6947,0.182,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-22,Replicate hook style and CTA in upcoming posts
cnt_022,Instagram,image,Productivity,631,107,163,259,3522,0.329,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-23,Replicate hook style and CTA in upcoming posts
cnt_023,LinkedIn,text,Motivation,1124,99,135,0,8278,0.164,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-24,Replicate hook style and CTA in upcoming posts
cnt_024,Instagram,carousel,Marketing,249,118,92,157,1237,0.498,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-25,Replicate hook style and CTA in upcoming posts
cnt_025,X,carousel,Productivity,181,10,187,248,684,0.915,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-26,Replicate hook style and CTA in upcoming posts
cnt_026,X,text,Productivity,993,70,42,135,7301,0.17,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-27,Replicate hook style and CTA in upcoming posts
cnt_027,LinkedIn,text,Tech,1124,96,186,102,9212,0.164,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-28,Replicate hook style and CTA in upcoming posts
cnt_028,Instagram,carousel,Motivation,784,56,132,231,3343,0.36,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-29,Replicate hook style and CTA in upcoming posts
cnt_029,X,carousel,Motivation,712,2,150,283,4021,0.285,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-30,Replicate hook style and CTA in upcoming posts
cnt_030,Instagram,reel,Education,165,90,161,30,963,0.463,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2025-12-31,Replicate hook style and CTA in upcoming posts
cnt_031,Instagram,carousel,Tech,165,65,60,142,1489,0.29,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-01,Replicate hook style and CTA in upcoming posts
